original_id,namn,ansvarigt_lan,kommuner,antal_arter,arter,fiskekartan_arter,antal_sjoar_survey,antal_vattendrag_survey,kallor,url_fvof,url_fiskekartan
1380,(Nedre) Kolbäcksåns fvof,Västmanland,"Surahammar, Hallstahammar",21,Abborre; Asp; Benlöja; Björkna; Braxen; Faren; Färna; Gädda; Gärs; Id; Karpfisk obestämd; Lake; Mört; Sarv; Signalkräfta; Simpa (Berg-; Sten-; Stensimpa; Stäm; Ål; Öring,,1,4,slu_provfiske,,https://fiskekartan.se/?fv=(Nedre)%20Kolbäcksåns%20fvof&sp=false
645,Aareavaara fvof,Norrbotten,,20,Abborre; Bergsimpa; Bäcknejonöga; Elritsa; Gädda; Gärs; Harr; Havsöring; Lake; Lax; Mört; Nejonöga; Sik; Simpa (Berg-; Småspigg; Spigg obestämd; Sten-; Stensimpa; Storspigg; Öring,Abborre; Gädda; Harr; Havsöring; Lake; Lax; Mört; Sik; Öring,0,4,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Aareavaara%20fvof&sp=false
464,Abodaortens fvof,Kalmar,"Högsby, Nybro",17,Abborre; Benlöja; Björkna; Braxen; Elritsa; Gädda; Gärs; Gös; Karpfisk obestämd; Lake; Mört; Regnbåge; Sarv; Signalkräfta; Simpa (Berg-; Sten-; Stensimpa,Abborre; Gädda; Gös,2,2,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Abodaortens%20fvof&sp=false
842,Acksjöns fvof,Värmland,"Karlstad, Filipstad, Hagfors",12,Abborre; Bäcknejonöga; Elritsa; Flodkräfta; Gädda; Gärs; Lake; Mört; Nejonöga; Signalkräfta; Stensimpa; Öring,Abborre; Gädda; Mört,0,6,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Acksjöns%20fvof&sp=false
1007,Agnsjön-Balsjöns fvof,Västerbotten,Bjurholm,16,Abborre; Bäcknejonöga; Bäckröding; Elritsa; Gädda; Gärs; Harr; Lake; Lax; Mört; Regnbåge; Röding; Sik; Småspigg; Stensimpa; Öring,,1,5,slu_provfiske; gbif,,https://fiskekartan.se/?fv=Agnsjön-Balsjöns%20fvof&sp=false
2100,Alarpasjöarnas fvof,Västra Götaland,Ulricehamn,7,Abborre; Braxen; Gädda; Lake; Mört; Sutare; Ål,Abborre; Braxen; Gädda; Lake; Mört; Sutare; Ål,2,0,fiskekartan; slu_provfiske,www.vattenagarna.se/sodra-alvsborgs-fiskevattenagareforbund/?o=510,https://fiskekartan.se/?fv=Alarpasjöarnas%20fvof&sp=false
347,Albosjön m fl sjöars fvof,Jönköping,"Gnosjö, Värnamo",7,Abborre; Braxen; Gädda; Lake; Mört; Sutare; Ål,Abborre; Braxen; Gädda; Lake; Mört; Sutare; Ål,3,0,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Albosjön%20m%20fl%20sjöars%20fvof&sp=false
12,Alfta fvof,Gävleborg,"Ovanåker, Ljusdal, Bollnäs",30,Abborre; Asp; Benlöja; Bergsimpa; Björkna; Braxen; Bäcknejonöga; Bäckröding; Elritsa; Flodkräfta; Flodnejonöga; Gädda; Gärs; Gös; Harr; Id; Lake; Mört; Nors; Regnbåge; Ruda; Röding; Signalkräfta; Sik; Siklöja; Simpa (Berg-; Sten-; Stensimpa; Ål; Öring,Abborre; Asp; Braxen; Bäckröding; Gädda; Gös; Harr; Lake; Regnbåge; Röding; Sik; Öring,7,58,fiskekartan; slu_provfiske; gbif,www.alftafvof.se,https://fiskekartan.se/?fv=Alfta%20fvof&sp=false
2234,Algustorpsjöarnas fvof,Skåne,Hässleholm,8,Abborre; Braxen; Gädda; Gös; Lake; Mört; Sarv; Ål,Abborre; Gädda; Gös; Ål,1,1,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Algustorpsjöarnas%20fvof&sp=false
130,Allgunnen-Frillens fvof,Halland,"Hylte, Halmstad",9,Abborre; Braxen; Gädda; Gös; Lake; Mört; Ruda; Sik; Sutare,,3,0,slu_provfiske,,https://fiskekartan.se/?fv=Allgunnen-Frillens%20fvof&sp=false
315,Allgunnens fvof,Jönköping,"Sävsjö, Växjö",12,Abborre; Benlöja; Bergsimpa; Braxen; Gädda; Lake; Mört; Sarv; Signalkräfta; Sik; Siklöja; Sutare,Abborre; Benlöja; Bergsimpa; Braxen; Gädda; Lake; Mört; Sarv; Sik; Siklöja; Sutare,2,4,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Allgunnens%20fvof&sp=false
