lan,antal_fvo,med_artlista,utan_artlista,tackning_pct,vatten_med_survey
Blekinge,28,28,0,100.0,74
Dalarna,69,69,0,100.0,1568
Gävleborg,51,50,1,98.0,1051
Halland,51,51,0,100.0,242
Jämtland,157,157,0,100.0,795
Jönköping,197,194,3,98.5,413
Kalmar,85,82,3,96.5,146
Kronoberg,135,131,4,97.0,488
Norrbotten,45,40,5,88.9,143
Skåne,61,60,1,98.4,170
Stockholm,42,38,4,90.5,38
Södermanland,16,15,1,93.8,10
Uppsala,21,21,0,100.0,45
Värmland,155,153,2,98.7,1009
Västerbotten,176,175,1,99.4,986
Västernorrland,138,131,7,94.9,531
Västmanland,29,28,1,96.6,89
Västra Götaland,326,317,9,97.2,832
Örebro,38,37,1,97.4,282
Östergötland,87,82,5,94.3,116
