lan	namn	kommuner
Gävleborg	Gammelstilla fvof	Hofors, Sandviken
Jönköping	Västra Mölndalsåns fvof	
Jönköping	Östra Mölndalsån fvof	
Kalmar	Antvarden-Lermons fvof	Västervik
Kalmar	Djursbo-Sjöarps fvof	Hultsfred
Kalmar	Sandsjöns fvof	Västervik
Kronoberg	Gässjöns fvof	Värnamo, Ljungby
Kronoberg	Ljudersjöns fvof	Lessebo
Kronoberg	Svartasjöns fvof	Tingsryd
Norrbotten	Bredträskets fvof	Luleå
Norrbotten	Kallöns fvof	Arjeplog
Norrbotten	Nurrholms fvof	Arjeplog
Skåne	Skärsjöns fvof	Hässleholm
Stockholm	Koholma fvof	Norrtälje
Stockholm	Rumsättra fvof	Vallentuna, Österåker, Norrtälje
Stockholm	Söderhenninge fvof	Norrtälje
Stockholm	Våmfjärdens fvof	Värmdö
Södermanland	Igelbålens fvof	Vingåker
Värmland	Svinsjöns fvof	Forshaga, Karlstad
Västernorrland	Gårdnäs-Ås fvof	Sollefteå
Västernorrland	Klocke-Grubbe fvof	Kramfors
Västmanland	Storsjöns fvof	Sala
Västra Götaland	Bergs vattens fvof	Uddevalla
Västra Götaland	Fridene fvof	Hjo, Tidaholm
Västra Götaland	Hällsjöns fvof	Härryda
Västra Götaland	Sassarps fvof	Ulricehamn
Västra Götaland	Visslaåns fvof	Trollhättan
Västra Götaland	Älesjöns fvof	Svenljunga
Västra Götaland	Öresjöns fvof	Härryda, Mark
Östergötland	Gransjöns fvof	Ydre
Östergötland	Hestrasjöns fvof	Ydre
Östergötland	Kristinebergs fvof	Linköping
Östergötland	Vägsjöns fvof	Finspång, Motala
