county,fvo,water,type,id,status,verification,species_scope,evidence_signature
Dalarna,Nävdens fvof,Grytnäsån,Vattendrag,DAL-STRUCT:248688471ea218b71fba3afd,UNRESOLVED,Saknar artunderlag,KÄLLGAP,bd4726cf0b5d2e029ae6
Dalarna,Nävdens fvof,Hällsjöbäck,Vattendrag,DAL-STRUCT:d5a7b34a6ceb6bbe6031ad2e,UNRESOLVED,Saknar artunderlag,KÄLLGAP,1e297b533148c0f45c48
Jämtland,Albackens Jakt & Fiskecamp kfo,Bastutjärnen,Sjö,J-STRUCT:20fc92538197b0578935f0ba,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,72ab49bade4a4217985c
Jämtland,Albackens Jakt & Fiskecamp kfo,Bodtjärnbäcken,Vattendrag,J-STRUCT:dc227c757b296155aecbfd98,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,6073c3ae7b0e150e3054
Jämtland,Albackens Jakt & Fiskecamp kfo,Bodtjärnen,Sjö,J-STRUCT:ad121af403752270f38b5d59,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,001002cddeea2dd7553c
Jämtland,Albackens Jakt & Fiskecamp kfo,Delsjöbäcken,Vattendrag,J-STRUCT:430637ee496b1cd0746d58a0,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,7dc62d877a8fc478d000
Jämtland,Albackens Jakt & Fiskecamp kfo,Delsjön,Sjö,J-STRUCT:dda0042ae61a802fee71913d,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,54ac837e83d1b7d2d2d9
Jämtland,Albackens Jakt & Fiskecamp kfo,Drogsjön,Sjö,J-STRUCT:22f2a1df98cdf045a494fe83,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,480b9e52493d919bc906
Jämtland,Albackens Jakt & Fiskecamp kfo,Holmsjön,Sjö,J-STRUCT:fd29865ba546037d5beb918e,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,1b546b25b35ea3b89f7b
Jämtland,Albackens Jakt & Fiskecamp kfo,Kroktjärnen,Sjö,J-STRUCT:5620845de091a8d957818f1f,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,07b542c381948d1f92bb
Jämtland,Albackens Jakt & Fiskecamp kfo,Kroktjärnen,Sjö,J-STRUCT:bbae8d1b0a750fefd3c9e5f6,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,def71ede6f79eadeeea4
Jämtland,Albackens Jakt & Fiskecamp kfo,Lakatjärnen,Sjö,J-STRUCT:3e001f5c14637b8879c736f9,UNRESOLVED,Saknar artunderlag,modeled_water_type_jamtland,824678c566bb1d2db3b3
