id,county,fvo,type,name,status,review_class,verification,species_scope,source_status
DAL-STRUCT:248688471ea218b71fba3afd,Dalarna,Nävdens fvof,Vattendrag,Grytnäsån,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,KÄLLGAP,SOURCE_GAP – inget entydigt vattenunikt belägg i genomförda källpass
DAL-STRUCT:d5a7b34a6ceb6bbe6031ad2e,Dalarna,Nävdens fvof,Vattendrag,Hällsjöbäck,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,KÄLLGAP,SOURCE_GAP – inget entydigt vattenunikt belägg i genomförda källpass
J-STRUCT:20fc92538197b0578935f0ba,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Bastutjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:dc227c757b296155aecbfd98,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Bodtjärnbäcken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:ad121af403752270f38b5d59,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Bodtjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:430637ee496b1cd0746d58a0,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Delsjöbäcken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:dda0042ae61a802fee71913d,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Delsjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:22f2a1df98cdf045a494fe83,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Drogsjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:fd29865ba546037d5beb918e,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Holmsjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:5620845de091a8d957818f1f,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Kroktjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:bbae8d1b0a750fefd3c9e5f6,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Kroktjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:3e001f5c14637b8879c736f9,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Lakatjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:320914ebf384d7e436eeb8a7,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Lakattjärnbäcken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:574e1bfc94168c2359b84bb6,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Landflyn,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:eb5dea561700c276a0ad7af6,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Legtjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:ee9f98bdda2876686a132da8,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Legtjärnsbäcken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:88ecd69b65bc1d0f9105d106,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Lill-Tivsjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:50567068e643c37828a4dfbd,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Lill-Örasjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:848aa564e3d140e6519e5f63,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Lilltjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:f29c6869a6fb62d17414eab0,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Ljungån,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:98aba461086926c1d55bf81a,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Loken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:18e405a2f1ed91689f1b0708,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Långtjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:f29bd9eb86833a500ec03432,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Mattistjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:2fc47f3cd1c8db6c8cb4336e,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Mellantjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:f247acae9e9cc7946feb6a5f,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Mellantjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:7c20cfec2329fa9344b61312,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Norra Örasjötjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:38507d7c8abf69bfbd631c35,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Norrsjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:9382958f920a8f2a4a5a86bc,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Nybodtjärnen,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:ff69772fc8b8c66251df05d6,Jämtland,Albackens Jakt & Fiskecamp kfo,Vattendrag,Nägelflobäcken,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
J-STRUCT:dacddbea2b8aa5307a8d8e75,Jämtland,Albackens Jakt & Fiskecamp kfo,Sjö,Ottersjön,UNRESOLVED,AUDITED_SOURCE_GAP,Saknar artunderlag,modeled_water_type_jamtland,SOURCE_GAP – inget säkert vattenunikt belägg i genomförda källpass
